timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.free [MiB], memory.total [MiB], power.draw [W], temperature.gpu
2026/04/02 09:06:21.746, 32 %, 21 %, 743 MiB, 44748 MiB, 46068 MiB, 133.11 W, 57
2026/04/02 09:06:22.747, 35 %, 25 %, 743 MiB, 44748 MiB, 46068 MiB, 127.17 W, 57
2026/04/02 09:06:23.747, 34 %, 22 %, 743 MiB, 44748 MiB, 46068 MiB, 129.24 W, 57
2026/04/02 09:06:24.748, 37 %, 25 %, 743 MiB, 44748 MiB, 46068 MiB, 129.47 W, 57
2026/04/02 09:06:25.748, 32 %, 21 %, 743 MiB, 44748 MiB, 46068 MiB, 127.87 W, 57
2026/04/02 09:06:26.748, 36 %, 24 %, 743 MiB, 44748 MiB, 46068 MiB, 133.51 W, 57
2026/04/02 09:06:27.749, 32 %, 16 %, 743 MiB, 44748 MiB, 46068 MiB, 124.02 W, 57
2026/04/02 09:06:28.749, 32 %, 16 %, 743 MiB, 44748 MiB, 46068 MiB, 117.89 W, 57
2026/04/02 09:06:29.750, 32 %, 16 %, 743 MiB, 44748 MiB, 46068 MiB, 118.07 W, 57
2026/04/02 09:06:30.750, 32 %, 16 %, 743 MiB, 44748 MiB, 46068 MiB, 116.54 W, 57
2026/04/02 09:06:31.750, 35 %, 24 %, 743 MiB, 44748 MiB, 46068 MiB, 118.30 W, 57
2026/04/02 09:06:32.751, 37 %, 26 %, 743 MiB, 44748 MiB, 46068 MiB, 132.64 W, 57
2026/04/02 09:06:33.751, 35 %, 26 %, 743 MiB, 44748 MiB, 46068 MiB, 132.42 W, 57
2026/04/02 09:06:34.752, 35 %, 25 %, 743 MiB, 44748 MiB, 46068 MiB, 130.97 W, 57
2026/04/02 09:06:35.752, 41 %, 29 %, 743 MiB, 44748 MiB, 46068 MiB, 131.25 W, 58
2026/04/02 09:06:36.753, 34 %, 22 %, 743 MiB, 44748 MiB, 46068 MiB, 136.68 W, 58
2026/04/02 09:06:37.753, 34 %, 23 %, 743 MiB, 44748 MiB, 46068 MiB, 128.48 W, 58
2026/04/02 09:06:38.754, 38 %, 28 %, 743 MiB, 44748 MiB, 46068 MiB, 125.85 W, 58
2026/04/02 09:06:39.754, 31 %, 20 %, 743 MiB, 44748 MiB, 46068 MiB, 128.51 W, 58
2026/04/02 09:06:40.754, 34 %, 23 %, 743 MiB, 44748 MiB, 46068 MiB, 130.26 W, 58
2026/04/02 09:06:41.755, 36 %, 24 %, 743 MiB, 44748 MiB, 46068 MiB, 131.99 W, 58
2026/04/02 09:06:42.755, 34 %, 23 %, 743 MiB, 44748 MiB, 46068 MiB, 129.39 W, 58
2026/04/02 09:06:43.756, 36 %, 25 %, 743 MiB, 44748 MiB, 46068 MiB, 130.30 W, 58
2026/04/02 09:06:44.756, 36 %, 24 %, 743 MiB, 44748 MiB, 46068 MiB, 134.84 W, 58
2026/04/02 09:06:45.757, 34 %, 22 %, 743 MiB, 44748 MiB, 46068 MiB, 130.56 W, 58
2026/04/02 09:06:46.757, 35 %, 23 %, 743 MiB, 44748 MiB, 46068 MiB, 134.09 W, 59
2026/04/02 09:06:47.757, 38 %, 28 %, 743 MiB, 44748 MiB, 46068 MiB, 129.99 W, 58
2026/04/02 09:06:48.758, 33 %, 23 %, 743 MiB, 44748 MiB, 46068 MiB, 132.98 W, 58
2026/04/02 09:06:49.758, 36 %, 26 %, 743 MiB, 44748 MiB, 46068 MiB, 128.82 W, 58
2026/04/02 09:06:50.759, 35 %, 24 %, 743 MiB, 44748 MiB, 46068 MiB, 129.69 W, 59
2026/04/02 09:06:51.759, 34 %, 24 %, 743 MiB, 44748 MiB, 46068 MiB, 134.90 W, 59
2026/04/02 09:06:52.760, 36 %, 26 %, 743 MiB, 44748 MiB, 46068 MiB, 126.40 W, 59
2026/04/02 09:06:53.760, 36 %, 25 %, 743 MiB, 44748 MiB, 46068 MiB, 132.40 W, 59
2026/04/02 09:06:54.761, 34 %, 24 %, 743 MiB, 44748 MiB, 46068 MiB, 132.33 W, 59
2026/04/02 09:06:55.761, 36 %, 23 %, 743 MiB, 44748 MiB, 46068 MiB, 131.22 W, 59
2026/04/02 09:06:56.762, 37 %, 27 %, 743 MiB, 44748 MiB, 46068 MiB, 132.35 W, 59
2026/04/02 09:06:57.762, 36 %, 24 %, 743 MiB, 44748 MiB, 46068 MiB, 130.03 W, 59
2026/04/02 09:06:58.763, 40 %, 29 %, 743 MiB, 44748 MiB, 46068 MiB, 137.55 W, 59
2026/04/02 09:06:59.763, 33 %, 22 %, 743 MiB, 44748 MiB, 46068 MiB, 138.71 W, 59
2026/04/02 09:07:00.764, 38 %, 28 %, 743 MiB, 44748 MiB, 46068 MiB, 135.88 W, 59
2026/04/02 09:07:01.764, 34 %, 23 %, 743 MiB, 44748 MiB, 46068 MiB, 134.25 W, 59
2026/04/02 09:07:02.764, 34 %, 23 %, 743 MiB, 44748 MiB, 46068 MiB, 131.35 W, 59
2026/04/02 09:07:03.765, 36 %, 26 %, 743 MiB, 44748 MiB, 46068 MiB, 131.37 W, 59
2026/04/02 09:07:04.765, 35 %, 26 %, 743 MiB, 44748 MiB, 46068 MiB, 132.78 W, 59
2026/04/02 09:07:05.766, 34 %, 23 %, 743 MiB, 44748 MiB, 46068 MiB, 135.05 W, 59
2026/04/02 09:07:06.766, 36 %, 26 %, 743 MiB, 44748 MiB, 46068 MiB, 133.58 W, 60
2026/04/02 09:07:07.767, 36 %, 26 %, 743 MiB, 44748 MiB, 46068 MiB, 131.60 W, 60
2026/04/02 09:07:08.767, 36 %, 26 %, 743 MiB, 44748 MiB, 46068 MiB, 134.88 W, 60
2026/04/02 09:07:09.767, 35 %, 24 %, 743 MiB, 44748 MiB, 46068 MiB, 129.08 W, 60
2026/04/02 09:07:10.768, 40 %, 28 %, 743 MiB, 44748 MiB, 46068 MiB, 133.34 W, 60
2026/04/02 09:07:11.768, 34 %, 23 %, 743 MiB, 44748 MiB, 46068 MiB, 135.30 W, 60
