 timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.free [MiB], memory.total [MiB], power.draw [W], temperature.gpu
2026/04/02 18:16:45.668, 24 %, 13 %, 653 MiB, 44838 MiB, 46068 MiB, 102.55 W, 53
2026/04/02 18:16:46.669, 23 %, 13 %, 653 MiB, 44838 MiB, 46068 MiB, 102.99 W, 53
2026/04/02 18:16:47.669, 24 %, 13 %, 653 MiB, 44838 MiB, 46068 MiB, 99.41 W, 53
2026/04/02 18:16:48.669, 23 %, 12 %, 653 MiB, 44838 MiB, 46068 MiB, 99.21 W, 53
2026/04/02 18:16:49.669, 23 %, 12 %, 653 MiB, 44838 MiB, 46068 MiB, 101.54 W, 53
2026/04/02 18:16:50.670, 24 %, 13 %, 653 MiB, 44838 MiB, 46068 MiB, 101.85 W, 53
2026/04/02 18:16:51.670, 24 %, 13 %, 653 MiB, 44838 MiB, 46068 MiB, 100.85 W, 53
2026/04/02 18:16:52.670, 24 %, 14 %, 653 MiB, 44838 MiB, 46068 MiB, 105.10 W, 53
2026/04/02 18:16:53.671, 24 %, 13 %, 653 MiB, 44838 MiB, 46068 MiB, 103.79 W, 53
2026/04/02 18:16:54.671, 23 %, 13 %, 653 MiB, 44838 MiB, 46068 MiB, 104.32 W, 54
2026/04/02 18:16:55.671, 24 %, 13 %, 653 MiB, 44838 MiB, 46068 MiB, 106.72 W, 54
2026/04/02 18:16:56.671, 24 %, 13 %, 653 MiB, 44838 MiB, 46068 MiB, 104.91 W, 54
2026/04/02 18:16:57.672, 23 %, 12 %, 653 MiB, 44838 MiB, 46068 MiB, 103.77 W, 54
2026/04/02 18:16:58.672, 24 %, 13 %, 653 MiB, 44838 MiB, 46068 MiB, 103.93 W, 54
2026/04/02 18:16:59.673, 23 %, 12 %, 653 MiB, 44838 MiB, 46068 MiB, 99.81 W, 54
2026/04/02 18:17:00.673, 24 %, 13 %, 653 MiB, 44838 MiB, 46068 MiB, 101.61 W, 54
2026/04/02 18:17:01.673, 23 %, 13 %, 653 MiB, 44838 MiB, 46068 MiB, 111.22 W, 54
